"id","sale_date","revenue","credit_card","cash","cash_deposit","reserve_cash","total_discount","total_extra","made_by"
1,2010-07-13,2788,2788,0,0,250,492,0,1
2,2010-07-14,13328,13328,0,0,250,2352,0,1
3,2010-07-15,45168,39014,6154,6100,304,5418,134,1
4,2010-07-16,27390,12478,14912,14900,316,4839,31,1
5,2010-07-17,13088,13088,0,0,316,2325,87,1
6,2010-07-19,16676,16676,0,0,316,3333,411,1
7,2010-07-20,6324,6324,0,0,316,1116,0,1
8,2010-07-21,13978,9778,4200,4200,316,2487,115,1
9,2010-07-22,5976,5976,0,0,316,1071,93,1
10,2010-07-23,14883,14883,0,0,316,2649,128,1
11,2010-07-24,16786,14586,2200,2500,16,2994,180,1
12,2010-07-26,7600,4900,2700,2700,16,1386,254,1
13,2010-07-27,25153,25153,0,0,16,4554,653,1
14,2010-07-28,5983,5983,0,0,16,1086,171,1
15,2010-07-29,22000,19600,2400,2400,16,4053,967,1
16,2010-07-30,6660,6660,0,0,16,0,80,1
17,2010-07-31,10500,10500,0,0,16,1182,138,1
18,2010-08-02,9962,8180,1782,1700,98,516,42,1
19,2010-08-03,42914,32900,10014,10100,12,4281,485,1
20,2010-08-04,14300,10100,4200,4200,12,1608,172,1
21,2010-08-05,4792,2592,2200,2200,12,407,61,1
22,2010-08-06,8048,0,8048,8000,60,1192,0,1
23,2010-08-07,0,0,0,0,60,0,0,1
24,2010-08-09,0,0,0,0,60,0,0,1
25,2010-08-10,15800,15800,0,0,60,1766,94,1
26,2010-08-11,0,0,0,0,60,0,0,1
27,2010-08-12,12800,9400,3400,3400,60,1440,160,1
28,2010-08-13,1980,0,1980,2000,40,0,0,1
29,2010-08-14,2000,0,2000,2000,40,109,71,1
30,2010-08-16,2300,2300,0,0,40,258,22,1
31,2010-08-17,4200,2400,1800,1800,40,268,792,1
32,2010-08-18,9492,6492,3000,3000,40,1062,66,1
33,2010-08-19,0,0,0,0,40,0,0,1
34,2010-08-20,2592,2592,0,0,40,288,0,1
35,2010-08-21,1880,1880,0,0,40,0,0,1
36,2010-08-23,7100,0,7100,7100,40,794,46,1
